"","dest","num_flights_Top20","num_flights_all"
"11","LAX","1340","14245"
"2","JFK"," 728"," 8011"
"32","SFO"," 232"," 5581"
"73","HNL"," 151"," 1114"
"28","ORD"," 142","13708"
"52","BOS"," 137"," 7611"
"113","OGG"," 124","  673"
"4","DFW"," 100","28823"
"109","LIH","  83","  355"
"91","KOA","  58","  349"
"30","LAS","  44"," 4859"
"33","MIA","  22"," 9620"
"34","PHX","   7","10804"
"9","ATL","   6","45758"
"19","AUS","   3"," 3312"
"37","BNA","   3"," 2727"
"3","CLT","   2","17239"
"70","SAT","   2"," 2106"
"16","SMF","   1"," 1270"
"21","DCA","   1"," 5666"
"26","ANC","   1","  795"
"39","PDX","   1"," 2425"
"41","SAN","   1"," 3371"
"44","PHL","   1"," 9210"
"45","DEN","   1"," 3929"
"66","STL","   1"," 1952"
"1","SLC","   0"," 9522"
"5","SDF","   0","  702"
"6","MSP","   0","14327"
"7","SNA","   0"," 1846"
"8","DAB","   0","  294"
"10","LGA","   0"," 9190"
"12","EWR","   0"," 2374"
"13","DTW","   0","11342"
"14","CVG","   0"," 1596"
"15","EYW","   0","  285"
"17","SEA","   0"," 7925"
"18","JAN","   0","  400"
"20","BWI","   0"," 2284"
"22","FLL","   0"," 2855"
"23","JAX","   0"," 1709"
"24","SJC","   0"," 1469"
"25","SYR","   0","  485"
"27","PIT","   0"," 1903"
"29","OAK","   0","  221"
"31","MCO","   0"," 6102"
"35","TPA","   0"," 4089"
"36","MLB","   0","  242"
"38","PSC","   0","   62"
"40","IND","   0"," 1751"
"42","BUF","   0","  722"
"43","ELP","   0","  453"
"46","MCI","   0"," 2280"
"47","RIC","   0"," 1022"
"48","MEM","   0"," 1490"
"49","GSP","   0","  654"
"50","IAH","   0"," 2305"
"51","BZN","   0","  523"
"53","CHS","   0"," 1024"
"54","ICT","   0","  409"
"55","ECP","   0","  370"
"56","CMH","   0"," 1311"
"57","STT","   0","  366"
"58","RDU","   0"," 3768"
"59","BIL","   0","  186"
"60","SRQ","   0","  479"
"61","PBI","   0"," 1675"
"62","GRR","   0","  635"
"63","MSY","   0"," 2357"
"64","VPS","   0","  722"
"65","ORF","   0","  898"
"67","RSW","   0"," 1581"
"68","SAV","   0","  948"
"69","FAT","   0","  211"
"71","MKE","   0"," 1446"
"72","SJU","   0"," 1152"
"74","HOU","   0","  391"
"75","FAR","   0","  123"
"76","PSP","   0","  109"
"77","FAI","   0","  179"
"78","PNS","   0","  640"
"79","OKC","   0","  783"
"80","FAY","   0","   62"
"81","HSV","   0","  446"
"82","MSO","   0","  190"
"83","JAC","   0","  532"
"84","BHM","   0","  612"
"85","BOI","   0","  575"
"86","ALB","   0","  353"
"87","CAE","   0","  443"
"88","GEG","   0","  758"
"89","TUL","   0","  625"
"90","IAD","   0","  891"
"92","FCA","   0","  264"
"93","MFE","   0","  123"
"94","DSM","   0","  477"
"95","AVP","   0","   61"
"96","BDL","   0"," 1753"
"97","ABQ","   0","  779"
"98","CRW","   0","   65"
"99","DAY","   0","  237"
"100","ONT","   0","  743"
"101","GPT","   0","   60"
"102","COS","   0","  288"
"103","ROC","   0","  291"
"104","CLE","   0"," 1170"
"105","FSD","   0","  118"
"106","HPN","   0","  108"
"107","OMA","   0","  593"
"108","RNO","   0","  596"
"110","TRI","   0","   66"
"111","PHF","   0","   59"
"112","TUS","   0","  701"
"114","BUR","   0","  267"
"115","ATW","   0","   67"
"116","DAL","   0","  280"
"117","MYR","   0","  318"
"118","FNT","   0","   62"
"119","LBB","   0","  120"
"120","XNA","   0","  175"
"121","AGS","   0","   94"
"122","LIT","   0","  458"
"123","GSO","   0","  583"
"124","MDW","   0","  406"
"125","PWM","   0","  466"
"126","BIS","   0","   62"
"127","STX","   0","  127"
"128","PVD","   0","  583"
"129","LFT","   0","   62"
"130","TLH","   0","   82"
"131","ILM","   0","  221"
"132","RAP","   0","   65"
"133","EGE","   0","  122"
"134","ABE","   0","   62"
"135","CHA","   0","   94"
"136","AVL","   0","   61"
"137","MHT","   0","   59"
"138","TYS","   0","  244"
"139","AMA","   0","   59"
"140","CHO","   0","   62"
"141","BTV","   0","   61"
"142","TVC","   0","  181"
"143","MSN","   0","  448"
"144","MDT","   0","  170"
"145","GTF","   0","   60"
"146","MOB","   0","   47"
"147","CID","   0","   58"
"148","JNU","   0","   61"
"149","MAF","   0","  114"
"150","CAK","   0","   62"
"151","LEX","   0","   63"
"152","SBA","   0","   61"
"153","ROA","   0","    1"
"154","GNV","   0","    1"
